"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"A Badoni","1","6","14","0","14","","","0","0","0/14","1","1","0"
"A Kamboj","14","303","530","21","10.5","25.24","14.43","0","0","3/22","49","34","121"
"A Nortje","1","24","39","0","9.75","","","0","0","0/39","1","2","7"
"Abdul Samad","1","1","6","0","36","","","0","0","0/6","0","1","0"
"Abhinandan Singh","3","58","122","3","12.62","40.67","19.33","0","0","2/30","13","7","15"
"Abhishek Sharma","4","29","49","0","10.14","","","0","0","0/7","5","2","6"
"AF Milne","1","20","41","0","12.3","","","0","0","0/41","2","2","3"
"AJ Hosein","7","148","198","8","8.03","24.75","18.5","1","0","4/17","14","11","59"
"AK Markram","5","36","83","0","13.83","","","0","0","0/9","3","8","8"
"Akash Singh","2","42","80","4","11.43","20","10.5","0","0","3/26","10","3","18"
"AM Ghazanfar","11","233","388","15","9.99","25.87","15.53","0","0","2/17","29","24","71"
"AR Patel","13","264","360","11","8.18","32.73","24","0","0","2/18","21","20","82"
"Arshad Khan","6","106","173","6","9.79","28.83","17.67","0","0","3/22","16","10","45"
"Arshdeep Singh","14","318","541","14","10.21","38.64","22.71","0","0","3/22","60","20","109"
"AS Roy","12","164","261","9","9.55","29","18.22","0","0","2/31","19","13","54"
"AS Tendulkar","1","24","36","1","9","36","24","0","0","1/36","4","1","6"
"Ashok Sharma","6","126","228","6","10.86","38","21","0","0","2/32","21","14","54"
"Ashwani Kumar","3","60","102","6","10.2","17","10","1","0","4/24","15","3","22"
"Auqib Nabi","5","78","149","0","11.46","","","0","0","0/17","11","10","27"
"Avesh Khan","7","148","273","6","11.07","45.5","24.67","0","0","2/23","20","19","47"
"Azmatullah Omarzai","3","66","103","3","9.36","34.33","22","0","0","2/36","8","6","23"
"B Kumar","16","378","501","28","7.95","17.89","13.5","1","0","4/23","49","16","152"
"B Muzarabani","2","42","75","4","10.71","18.75","10.5","1","0","4/41","9","3","13"
"BJ Dwarshuis","1","24","51","1","12.75","51","24","0","0","1/51","4","3","6"
"Brijesh Sharma","13","273","450","14","9.89","32.14","19.5","0","0","2/18","51","13","87"
"C Bosch","6","121","195","12","9.67","16.25","10.08","1","0","4/26","11","15","47"
"C Green","10","132","234","7","10.64","33.43","18.86","0","0","2/23","21","14","48"
"CV Varun","11","247","361","11","8.77","32.82","22.45","0","0","3/14","29","18","80"
"D Ferreira","3","18","41","1","13.67","41","18","0","0","1/14","3","3","2"
"D Madushanka","1","24","36","1","9","36","24","0","0","1/36","3","1","8"
"DA Payne","2","30","70","2","14","35","15","0","0","2/35","6","5","5"
"DL Chahar","8","153","265","8","10.39","33.12","19.12","0","0","2/33","26","15","58"
"DS Rathi","10","234","397","5","10.18","79.4","46.8","0","0","2/45","29","21","56"
"E Malinga","15","326","507","20","9.33","25.35","16.3","1","0","4/32","43","24","117"
"GF Linde","3","37","55","1","8.92","55","37","0","0","1/18","6","2","10"
"Gurjapneet Singh","8","151","233","4","9.26","58.25","37.75","0","0","1/7","15","13","46"
"Harpreet Brar","2","48","60","2","7.5","30","24","0","0","2/35","5","2","16"
"HH Pandya","9","136","259","4","11.43","64.75","34","0","0","1/18","25","13","42"
"HS Dubey","8","132","228","8","10.36","28.5","16.5","0","0","3/12","16","14","38"
"HV Patel","5","82","148","0","10.83","","","0","0","0/16","14","7","16"
"J Overton","10","168","249","14","8.89","17.79","12","1","0","4/18","18","12","60"
"JA Duffy","6","144","263","9","10.96","29.22","16","0","0","3/22","23","18","57"
"JC Archer","16","360","559","25","9.32","22.36","14.4","0","0","3/17","71","20","158"
"JD Unadkat","4","77","140","4","10.91","35","19.25","0","0","3/21","14","8","23"
"JJ Bumrah","13","294","410","4","8.37","102.5","73.5","0","0","1/15","43","12","114"
"JO Holder","11","231","290","17","7.53","17.06","13.59","1","0","4/24","26","11","96"
"JR Hazlewood","13","309","494","15","9.59","32.93","20.6","1","0","4/12","50","25","126"
"K Khejroliya","1","12","31","0","15.5","","","0","0","0/31","4","1","3"
"K Nitish Kumar Reddy","14","186","323","8","10.42","40.38","23.25","0","0","2/17","32","14","58"
"K Rabada","17","388","626","29","9.68","21.59","13.38","0","0","3/25","60","40","172"
"KA Jamieson","2","42","90","2","12.86","45","21","0","0","1/42","9","6","11"
"Kartik Tyagi","13","310","512","19","9.91","26.95","16.32","0","0","3/22","49","26","118"
"KH Pandya","15","303","425","14","8.42","30.36","21.64","0","0","2/16","21","24","88"
"KK Ahmed","5","101","146","2","8.67","73","50.5","0","0","1/24","11","8","43"
"Krish Bhagat","3","36","63","0","10.5","","","0","0","0/10","5","5","15"
"Kuldeep Yadav","11","222","381","10","10.3","38.1","22.2","0","0","3/29","19","29","61"
"L Ngidi","11","248","340","13","8.23","26.15","19.08","0","0","3/27","30","16","96"
"LH Ferguson","3","66","141","1","12.82","141","66","0","0","1/41","11","11","20"
"M Jansen","12","284","483","9","10.2","53.67","31.56","0","0","2/33","40","28","86"
"M Markande","3","30","76","0","15.2","","","0","0","0/16","3","8","5"
"M Pathirana","1","8","9","0","6.75","","","0","0","0/9","1","0","4"
"M Prasidh Krishna","12","234","407","16","10.44","25.44","14.62","1","0","4/28","36","23","79"
"M Siddharth","4","90","145","6","9.67","24.17","15","0","0","2/35","7","10","26"
"M Tiwari","3","60","87","4","8.7","21.75","15","0","0","2/27","7","3","20"
"MA Starc","6","132","224","11","10.18","20.36","12","1","0","4/40","24","11","53"
"MD Shanaka","3","36","60","1","10","60","36","0","0","1/29","5","2","8"
"MJ Henry","3","60","130","2","13","65","30","0","0","2/54","10","8","10"
"MJ Santner","4","84","125","5","8.93","25","16.8","0","0","2/16","11","7","32"
"MJ Suthar","3","36","68","2","11.33","34","18","0","0","1/19","7","4","13"
"Mohammed Shami","13","306","459","12","9","38.25","25.5","0","0","2/9","48","22","132"
"Mohammed Siraj","17","372","562","19","9.06","29.58","19.58","0","0","3/26","66","24","172"
"Mohsin Khan","7","168","228","11","8.14","20.73","15.27","0","1","5/23","19","12","69"
"MP Stoinis","4","47","98","2","12.51","49","23.5","0","0","1/26","6","7","10"
"MP Yadav","4","96","182","0","11.38","","","0","0","0/26","13","13","36"
"Mukesh Choudhary","8","168","249","8","8.89","31.12","21","0","0","2/21","25","12","72"
"Mukesh Kumar","10","188","353","6","11.27","58.83","31.33","0","0","2/26","35","19","62"
"MW Short","2","19","39","0","12.32","","","0","0","0/1","3","3","5"
"N Burger","13","261","440","14","10.11","31.43","18.64","0","0","2/21","39","25","111"
"N Rana","1","24","55","0","13.75","","","0","0","0/55","2","6","7"
"NA Saini","1","18","37","0","12.33","","","0","0","0/37","5","1","6"
"Noor Ahmad","14","306","427","13","8.37","32.85","23.54","0","0","3/21","25","22","95"
"PJ Cummins","8","192","307","8","9.59","38.38","24","0","0","3/28","28","14","71"
"PP Hinge","7","156","305","14","11.73","21.79","11.14","1","0","4/34","31","19","63"
"PR Veer","1","12","25","0","12.5","","","0","0","0/25","1","3","5"
"Prince Yadav","14","312","459","17","8.83","27","18.35","0","0","3/32","42","20","120"
"PVD Chameera","1","12","18","0","9","","","0","0","0/18","2","1","5"
"R Parag","4","24","38","2","9.5","19","12","0","0","1/5","4","1","5"
"R Sai Kishore","2","24","46","1","11.5","46","24","0","0","1/38","2","4","6"
"R Shepherd","13","150","298","7","11.92","42.57","21.43","0","0","3/54","19","22","38"
"RA Bawa","2","24","50","2","12.5","25","12","0","0","1/11","2","3","8"
"RA Jadeja","12","198","277","10","8.39","27.7","19.8","0","0","2/8","14","13","53"
"Ramandeep Singh","2","16","31","1","11.62","31","16","0","0","1/5","1","1","1"
"Rashid Khan","17","341","516","21","9.08","24.57","16.24","1","0","4/33","26","36","117"
"Rasikh Salam","12","257","405","19","9.46","21.32","13.53","1","0","4/24","49","10","85"
"Ravi Bishnoi","9","156","257","11","9.88","23.36","14.18","1","0","4/41","17","14","42"
"RD Chahar","1","24","46","0","11.5","","","0","0","0/46","3","3","4"
"RS Ghosh","1","18","24","1","8","24","18","0","0","1/24","4","0","6"
"RS Sharma","5","90","130","1","8.67","130","90","0","0","1/36","5","8","23"
"S Dube","4","30","64","1","12.8","64","30","0","0","1/30","9","2","6"
"Sakib Hussain","11","252","397","15","9.45","26.47","16.8","1","0","4/24","32","18","87"
"Sandeep Sharma","6","118","224","5","11.39","44.8","23.6","0","0","2/26","17","13","32"
"SH Johnson","3","66","112","2","10.18","56","33","0","0","1/39","14","4","28"
"Shahbaz Ahmed","5","67","130","5","11.64","26","13.4","0","0","2/30","14","6","16"
"Shashank Singh","4","60","88","4","8.8","22","15","0","0","2/20","6","4","17"
"Shivang Kumar","13","234","375","9","9.62","41.67","26","0","0","3/33","30","19","63"
"SN Thakur","7","132","270","12","12.27","22.5","11","1","0","4/39","27","13","37"
"SP Narine","13","306","339","15","6.65","22.6","20.4","0","0","2/26","22","18","137"
"SR Dubey","4","77","106","5","8.26","21.2","15.4","0","0","2/28","10","5","41"
