"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"A Badoni","1","6","14","0","14","","","0","0","0/14","1","1","0"
"A Kamboj","7","48","77","3","9.62","25.67","16","0","0","2/12","8","3","16"
"A Nortje","1","18","26","0","8.67","","","0","0","0/26","1","1","4"
"Abhinandan Singh","3","24","37","1","9.25","37","24","0","0","1/14","5","0","5"
"Abhishek Sharma","1","6","13","0","13","","","0","0","0/13","2","0","0"
"AJ Hosein","6","72","91","4","7.58","22.75","18","0","0","2/10","2","5","18"
"AK Markram","3","24","54","0","13.5","","","0","0","0/9","1","6","6"
"Akash Singh","2","18","41","2","13.67","20.5","9","0","0","1/10","4","3","7"
"AM Ghazanfar","11","138","206","4","8.96","51.5","34.5","0","0","2/20","12","10","32"
"AR Patel","12","168","232","8","8.29","29","21","0","0","1/9","12","13","46"
"Arshad Khan","6","66","111","3","10.09","37","22","0","0","2/15","9","8","29"
"Arshdeep Singh","12","72","128","3","10.67","42.67","24","0","0","1/6","15","3","15"
"AS Roy","9","78","125","6","9.62","20.83","13","0","0","2/13","10","4","24"
"AS Tendulkar","1","18","31","1","10.33","31","18","0","0","1/31","4","1","5"
"Ashok Sharma","6","54","75","1","8.33","75","54","0","0","1/37","5","5","28"
"Ashwani Kumar","3","48","81","4","10.12","20.25","12","0","0","3/18","12","2","16"
"Auqib Nabi","1","6","10","0","10","","","0","0","0/10","2","0","2"
"Avesh Khan","7","84","142","3","10.14","47.33","28","0","0","2/18","12","8","26"
"Azmatullah Omarzai","2","18","29","1","9.67","29","18","0","0","1/23","2","2","6"
"B Kumar","5","30","49","1","9.8","49","30","0","0","1/8","6","1","9"
"B Muzarabani","1","12","10","2","5","5","6","0","0","2/10","0","0","4"
"BJ Dwarshuis","1","18","34","0","11.33","","","0","0","0/34","3","1","4"
"Brijesh Sharma","11","108","155","5","8.61","31","21.6","0","0","2/28","16","2","27"
"C Bosch","6","72","101","6","8.42","16.83","12","0","0","2/20","4","8","29"
"C Green","8","60","91","4","9.1","22.75","15","0","0","1/4","9","3","21"
"CV Varun","11","210","266","9","7.6","29.56","23.33","0","0","3/14","20","11","71"
"D Ferreira","2","12","25","1","12.5","25","12","0","0","1/14","3","1","2"
"D Madushanka","1","12","20","0","10","","","0","0","0/20","2","0","2"
"DA Payne","2","18","27","2","9","13.5","9","0","0","2/17","2","1","4"
"DL Chahar","3","18","44","0","14.67","","","0","0","0/13","2","4","3"
"DS Rathi","10","162","258","2","9.56","129","81","0","0","1/15","19","12","36"
"E Malinga","14","108","153","7","8.5","21.86","15.43","0","0","2/2","11","6","38"
"GF Linde","3","36","51","1","8.5","51","36","0","0","1/18","5","2","10"
"Gurjapneet Singh","7","96","147","2","9.19","73.5","48","0","0","1/22","10","8","31"
