"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"A Kamboj","14","127","218","5","10.3","43.6","25.4","0","0","1/10","23","14","55"
"Abhinandan Singh","3","24","69","0","17.25","","","0","0","0/13","8","5","6"
"Abhishek Sharma","2","18","29","0","9.67","","","0","0","0/14","2","2","5"
"AF Milne","1","12","22","0","11","","","0","0","0/22","1","1","2"
"AJ Hosein","6","66","93","3","8.45","31","22","0","0","2/7","12","5","38"
"Akash Singh","2","24","39","2","9.75","19.5","12","0","0","2/16","6","0","11"
"AM Ghazanfar","8","60","108","7","10.8","15.43","8.57","0","0","2/14","11","7","24"
"AR Patel","10","84","121","2","8.64","60.5","42","0","0","1/13","9","7","31"
"Arshdeep Singh","14","168","260","7","9.29","37.14","24","0","0","2/4","30","9","70"
"AS Roy","7","60","93","1","9.3","93","60","0","0","1/15","7","6","21"
"Ashok Sharma","4","24","60","0","15","","","0","0","0/11","7","4","7"
"Ashwani Kumar","1","6","6","1","6","6","6","0","0","1/6","1","0","3"
"Auqib Nabi","5","72","139","0","11.58","","","0","0","0/17","9","10","25"
"Avesh Khan","4","24","66","0","16.5","","","0","0","0/5","4","7","6"
"Azmatullah Omarzai","3","30","53","1","10.6","53","30","0","0","1/29","3","4","10"
"B Kumar","16","204","236","17","6.94","13.88","12","0","0","3/5","27","8","108"
"B Muzarabani","2","18","40","0","13.33","","","0","0","0/16","4","3","5"
"Brijesh Sharma","10","72","131","1","10.92","131","72","0","0","1/11","21","2","25"
"C Bosch","2","12","20","2","10","10","6","0","0","1/8","2","1","5"
"C Green","7","60","118","2","11.8","59","30","0","0","2/17","11","8","22"
"CV Varun","2","12","40","0","20","","","0","0","0/15","5","3","3"
"D Madushanka","1","12","16","1","8","16","12","0","0","1/16","1","1","6"
"DA Payne","2","12","43","0","21.5","","","0","0","0/18","4","4","1"
"DL Chahar","8","102","155","6","9.12","25.83","17","0","0","2/27","21","7","49"
"DS Rathi","7","48","89","2","11.12","44.5","24","0","0","1/7","8","5","13"
"E Malinga","13","120","179","5","8.95","35.8","24","0","0","1/5","15","10","49"
"Gurjapneet Singh","2","12","14","0","7","","","0","0","0/3","2","0","4"
"Harpreet Brar","2","18","21","1","7","21","18","0","0","1/19","2","1","9"
"HH Pandya","6","48","110","1","13.75","110","48","0","0","1/18","15","5","18"
"HS Dubey","5","42","70","1","10","70","42","0","0","1/17","7","3","12"
"HV Patel","1","6","21","0","21","","","0","0","0/21","2","2","1"
"J Overton","1","6","17","0","17","","","0","0","0/17","0","2","0"
"JA Duffy","6","78","158","6","12.15","26.33","13","0","0","3/17","15","12","35"
"JC Archer","16","204","340","14","10","24.29","14.57","0","0","3/42","47","13","102"
"JD Unadkat","4","42","83","2","11.86","41.5","21","0","0","1/10","7","7","15"
"JJ Bumrah","13","144","211","2","8.79","105.5","72","0","0","1/11","25","7","60"
"JO Holder","2","12","20","0","10","","","0","0","0/8","2","0","2"
"JR Hazlewood","13","156","260","7","10","37.14","22.29","0","0","3/8","27","17","76"
"K Nitish Kumar Reddy","7","66","113","3","10.27","37.67","22","0","0","2/14","17","3","28"
"K Rabada","17","270","446","20","9.91","22.3","13.5","0","0","3/23","49","27","126"
"KA Jamieson","2","36","75","2","12.5","37.5","18","0","0","1/33","6","6","11"
"Kartik Tyagi","9","66","125","4","11.36","31.25","16.5","0","0","1/10","15","6","26"
"KH Pandya","2","12","19","0","9.5","","","0","0","0/7","2","1","4"
"KK Ahmed","5","78","99","2","7.62","49.5","39","0","0","1/17","8","5","38"
"Krish Bhagat","2","18","28","0","9.33","","","0","0","0/10","2","2","7"
"L Ngidi","11","96","133","4","8.31","33.25","24","0","0","1/4","15","6","43"
"LH Ferguson","3","30","66","1","13.2","66","30","0","0","1/20","5","6","10"
"M Jansen","12","108","181","2","10.06","90.5","54","0","0","1/9","20","10","47"
"M Pathirana","1","8","9","0","6.75","","","0","0","0/9","1","0","4"
"M Prasidh Krishna","2","12","28","0","14","","","0","0","0/12","3","2","4"
"M Siddharth","2","12","16","0","8","","","0","0","0/7","0","2","8"
"MA Starc","6","66","114","1","10.36","114","66","0","0","1/16","14","6","31"
"MJ Henry","3","36","77","1","12.83","77","36","0","0","1/27","6","5","6"
"MJ Santner","3","18","41","1","13.67","41","18","0","0","1/9","5","3","7"
"Mohammed Shami","13","180","230","9","7.67","25.56","20","0","0","2/7","35","5","100"
"Mohammed Siraj","17","282","377","15","8.02","25.13","18.8","0","0","3/26","49","12","143"
"Mohsin Khan","7","84","109","4","7.79","27.25","21","0","0","2/8","12","6","44"
"MP Yadav","2","18","18","0","6","","","0","0","0/6","2","1","11"
"Mukesh Choudhary","8","107","147","5","8.24","29.4","21.4","0","0","2/21","17","7","57"
"Mukesh Kumar","9","102","190","3","11.18","63.33","34","0","0","2/12","24","9","41"
"MW Short","1","18","38","0","12.67","","","0","0","0/38","3","3","5"
"N Burger","13","156","261","7","10.04","37.29","22.29","0","0","2/14","25","13","70"
"N Rana","1","12","26","0","13","","","0","0","0/26","1","3","5"
"NA Saini","1","6","17","0","17","","","0","0","0/17","2","1","1"
"Noor Ahmad","1","6","15","0","15","","","0","0","0/15","0","2","2"
"PJ Cummins","8","90","176","3","11.73","58.67","30","0","0","1/13","16","11","35"
"PP Hinge","7","66","126","6","11.45","21","11","1","0","4/18","16","8","32"
"PR Veer","1","6","18","0","18","","","0","0","0/18","0","3","3"
"Prince Yadav","14","114","165","7","8.68","23.57","16.29","0","0","2/14","20","4","51"
"PVD Chameera","1","12","18","0","9","","","0","0","0/18","2","1","5"
"Rashid Khan","2","12","9","0","4.5","","","0","0","0/4","1","0","6"
"Rasikh Salam","11","102","143","5","8.41","28.6","20.4","0","0","3/1000","20","4","44"
"Ravi Bishnoi","3","18","20","4","6.67","5","4.5","0","0","2/10","3","0","8"
"Sakib Hussain","9","60","110","3","11","36.67","20","0","0","1/4","9","7","27"
"Sandeep Sharma","6","54","94","2","10.44","47","27","0","0","1/5","9","4","16"
"SH Johnson","3","42","78","0","11.14","","","0","0","0/17","12","2","18"
"Shivang Kumar","1","6","23","0","23","","","0","0","0/23","1","3","2"
"SN Thakur","4","24","59","2","14.75","29.5","12","0","0","1/10","8","3","5"
"SP Narine","10","72","96","2","8","48","36","0","0","1/1","11","5","35"
"SR Dubey","4","52","62","3","7.15","20.67","17.33","0","0","2/22","5","3","31"
"SS Mishra","1","6","13","0","13","","","0","0","0/13","1","1","3"
"T Natarajan","2","12","18","0","9","","","0","0","0/9","2","0","4"
"T Vijay","1","6","18","0","18","","","0","0","0/18","3","1","2"
"TA Boult","5","48","109","0","13.62","","","0","0","0/10","5","11","17"
"TU Deshpande","7","48","81","0","10.12","","","0","0","0/5","14","1","18"
"V Nigam","1","6","7","0","7","","","0","0","0/7","1","0","3"
"V Vyshak","6","36","81","1","13.5","81","36","0","0","1/6","7","7","12"
"VG Arora","10","114","194","4","10.21","48.5","28.5","0","0","2/14","27","8","44"
"WG Jacks","3","24","51","1","12.75","51","24","0","0","1/12","3","5","9"
"XC Bartlett","9","88","181","3","12.34","60.33","29.33","0","0","2/9","23","7","30"
"Yash Raj Punja","1","6","12","0","12","","","0","0","0/12","1","1","2"
"Yash Thakur","1","12","22","1","11","22","12","0","0","1/22","3","1","5"
