"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"A Kamboj","12","127","235","13","11.1","18.08","9.77","0","0","3/7","18","17","49"
"A Nortje","1","6","13","0","13","","","0","0","0/13","0","1","3"
"Abdul Samad","1","1","6","0","36","","","0","0","0/6","0","1","0"
"Abhinandan Singh","2","10","16","2","9.6","8","5","0","0","1/3","0","2","4"
"Abhishek Sharma","1","5","7","0","8.4","","","0","0","0/7","1","0","1"
"AF Milne","1","8","19","0","14.25","","","0","0","0/19","1","1","1"
"AJ Hosein","2","10","14","1","8.4","14","10","0","0","1/8","0","1","3"
"AK Markram","2","12","29","0","14.5","","","0","0","0/14","2","2","2"
"AM Ghazanfar","6","35","74","4","12.69","18.5","8.75","0","0","2/1","6","7","15"
"AR Patel","2","12","7","1","3.5","7","12","0","0","1/2","0","0","5"
"Arshad Khan","4","40","62","3","9.3","20.67","13.33","0","0","2/27","7","2","16"
"Arshdeep Singh","12","78","153","4","11.77","38.25","19.5","0","0","1/6","15","8","24"
"AS Roy","5","26","43","2","9.92","21.5","13","0","0","1/8","2","3","9"
"AS Tendulkar","1","6","5","0","5","","","0","0","0/5","0","0","1"
"Ashok Sharma","6","48","93","5","11.62","18.6","9.6","0","0","2/19","9","5","19"
"Ashwani Kumar","1","6","15","1","15","15","6","0","0","1/15","2","1","3"
"Avesh Khan","5","40","65","3","9.75","21.67","13.33","0","0","2/13","4","4","15"
"Azmatullah Omarzai","2","18","21","1","7","21","18","0","0","1/2","3","0","7"
"B Kumar","14","144","216","10","9","21.6","14.4","0","0","3/10","16","7","35"
"B Muzarabani","2","12","25","2","12.5","12.5","6","0","0","2/15","5","0","4"
"BJ Dwarshuis","1","6","17","1","17","17","6","0","0","1/17","1","2","2"
"Brijesh Sharma","12","93","164","8","10.58","20.5","11.62","0","0","2/3","14","9","35"
"C Bosch","5","37","74","4","12","18.5","9.25","0","0","2/13","5","6","13"
"C Green","2","12","25","1","12.5","25","12","0","0","1/9","1","3","5"
"CV Varun","4","25","55","2","13.2","27.5","12.5","0","0","1/11","4","4","6"
"D Ferreira","1","6","16","0","16","","","0","0","0/16","0","2","0"
"DL Chahar","5","33","66","2","12","33","16.5","0","0","1/16","3","4","6"
"DS Rathi","4","24","50","1","12.5","50","24","0","0","1/4","2","4","7"
"E Malinga","13","98","175","8","10.71","21.88","12.25","0","0","2/13","17","8","30"
"GF Linde","1","1","4","0","24","","","0","0","0/4","1","0","0"
"Gurjapneet Singh","7","43","72","2","10.05","36","21.5","0","0","1/7","3","5","11"
"HH Pandya","3","16","42","1","15.75","42","16","0","0","1/10","3","3","4"
"HS Dubey","4","30","42","5","8.4","8.4","6","0","0","3/12","3","2","9"
"HV Patel","3","16","31","0","11.62","","","0","0","0/4","3","2","5"
"J Overton","8","66","111","5","10.09","22.2","13.2","0","0","2/6","7","7","22"
"JA Duffy","2","12","35","0","17.5","","","0","0","0/14","1","4","4"
"JC Archer","13","102","159","7","9.35","22.71","14.57","0","0","2/5","15","7","33"
"JD Unadkat","3","23","42","2","10.96","21","11.5","0","0","2/2","6","1","6"
"JJ Bumrah","9","78","106","1","8.15","106","78","0","0","1/12","11","2","27"
"JO Holder","6","33","41","4","7.45","10.25","8.25","0","0","2/1","5","1","14"
"JR Hazlewood","11","81","135","5","10","27","16.2","0","0","1/4","15","4","25"
"K Nitish Kumar Reddy","2","12","17","1","8.5","17","12","0","0","1/5","1","1","5"
"K Rabada","12","72","112","6","9.33","18.67","12","0","0","1/5","4","9","25"
"KA Jamieson","1","6","15","0","15","","","0","0","0/15","3","0","0"
"Kartik Tyagi","13","124","226","10","10.94","22.6","12.4","0","0","3/2","15","16","44"
"KH Pandya","3","15","35","2","14","17.5","7.5","0","0","1/1","1","4","5"
"KK Ahmed","2","11","26","0","14.18","","","0","0","0/7","2","2","2"
"Krish Bhagat","2","18","35","0","11.67","","","0","0","0/4","3","3","8"
"Kuldeep Yadav","6","36","77","1","12.83","77","36","0","0","1/5","2","8","10"
"L Ngidi","10","104","144","7","8.31","20.57","14.86","0","0","2/9","11","6","35"
"LH Ferguson","3","24","56","0","14","","","0","0","0/13","4","4","6"
"M Jansen","12","80","158","4","11.85","39.5","20","0","0","1/8","10","12","18"
"M Prasidh Krishna","8","60","124","3","12.4","41.33","20","0","0","1/11","10","8","14"
